Condition_Number,Subject_ID,Privacy,Algorithm,x_pos,Scenario,Model
0,S0,1,Local,0,Intra-Subject,Local
0,S1,1,Local,0,Intra-Subject,Local
0,S2,1,Local,0,Intra-Subject,Local
0,S3,1,Local,0,Intra-Subject,Local
0,S4,1,Local,0,Intra-Subject,Local
0,S5,1,Local,0,Intra-Subject,Local
0,S6,1,Local,0,Intra-Subject,Local
0,S7,1,Local,0,Intra-Subject,Local
0,S8,1,Local,0,Intra-Subject,Local
0,S9,1,Local,0,Intra-Subject,Local
0,S10,1,Local,0,Intra-Subject,Local
0,S11,1,Local,0,Intra-Subject,Local
0,S12,1,Local,0,Intra-Subject,Local
0,S13,1,Local,0,Intra-Subject,Local
1,S0,0,Per-FedAvg,2,Intra-Subject,Local
1,S1,0,Per-FedAvg,2,Intra-Subject,Local
1,S2,0,Per-FedAvg,2,Intra-Subject,Local
1,S3,0,Per-FedAvg,2,Intra-Subject,Local
1,S4,0,Per-FedAvg,2,Intra-Subject,Local
1,S5,0,Per-FedAvg,2,Intra-Subject,Local
1,S6,0,Per-FedAvg,2,Intra-Subject,Local
1,S7,0,Per-FedAvg,2,Intra-Subject,Local
1,S8,0,Per-FedAvg,2,Intra-Subject,Local
1,S9,0,Per-FedAvg,2,Intra-Subject,Local
1,S10,0,Per-FedAvg,2,Intra-Subject,Local
1,S11,0,Per-FedAvg,2,Intra-Subject,Local
1,S12,0,Per-FedAvg,2,Intra-Subject,Local
1,S13,0,Per-FedAvg,2,Intra-Subject,Local
2,S0,0,FedAvg,1,Intra-Subject,Local
2,S1,0,FedAvg,1,Intra-Subject,Local
2,S2,0,FedAvg,1,Intra-Subject,Local
2,S3,0,FedAvg,1,Intra-Subject,Local
2,S4,0,FedAvg,1,Intra-Subject,Local
2,S5,0,FedAvg,1,Intra-Subject,Local
2,S6,0,FedAvg,1,Intra-Subject,Local
2,S7,0,FedAvg,1,Intra-Subject,Local
2,S8,0,FedAvg,1,Intra-Subject,Local
2,S9,0,FedAvg,1,Intra-Subject,Local
2,S10,0,FedAvg,1,Intra-Subject,Local
2,S11,0,FedAvg,1,Intra-Subject,Local
2,S12,0,FedAvg,1,Intra-Subject,Local
